Name,Agrivoltaic Activities,System Size,Site Size,Year Installed,PV Technology,Type Of Array,Habitat Type,Crop Types,Animal Type
Abel,Habitat,2.4,17,2020,Monofacial PV,Single-axis Tracking,Pollinator,,
Acturus Community Solar,Habitat,1.5,7.6,2018,,Fixed,Native grasses,,
Agard-enfield,Grazing,2.3,4.5,2017,Monofacial PV,Fixed,,,Sheep
Agawam,Habitat,1.8,9,2012,,Fixed,Pollinator,,
Albany,"Habitat,Grazing",15.2,100.8,2016,Monofacial PV,Single-axis Tracking,Pollinator,,Sheep
Alden Road Harvard Solar 1,Habitat,2.4,15.1,2020,,Fixed,Pollinator,,
All In Solar,Habitat,1.4,8.5,2020,,Single-axis Tracking,Pollinator,,
Alliant Energy Solar Farm at Iowa State University,"Crop Production,Habitat",1.375,6,2023,Bifacial PV,Single-axis Tracking,Pollinator,"Broccoli, bell pepper, raspberry, summer squash, strawberry",
"Allis Medina Solar, LLC (CSG)",Grazing,7.3,20.2,2020,,Single-axis Tracking,,,Sheep
Allium Community Solar Garden,Habitat,1.5,7.6,2021,,Single-axis Tracking,Pollinator,,
Altair Community Solar Garden,Habitat,1.5,11.5,2019,,Fixed,Native grasses,,
American Bottoms,Habitat,1.8,6,2020,,Single-axis Tracking,Pollinator,,
American Kings Solar,Grazing,172.3,665,2020,,Single-axis Tracking,,,Sheep
Ames Electric Services Power Plant,"Habitat,Grazing",2.2,10,2020,,Fixed,Pollinator,,Sheep
Amherst Sunderland Road,"Habitat,Grazing",4.03,13.7,2019,,Fixed,Pollinator,,Sheep
Anderson Community Solar Garden,Habitat,1,7,2022,,Fixed,Pollinator,,
Andromeda Community Solar,"Habitat,Grazing",6.5,30.02,2017,Other,Fixed,Pollinator,,Sheep
Animal Farm Cook Campus,"Habitat,Grazing",0.17,2.89,2024,Bifacial PV,Fixed,,Hay,Cows
Annandale,Habitat,9.1,66.22,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
Anoka County MN CONX,Habitat,4.6,18,2018,Monofacial PV,Fixed,Pollinator,,
Antares Community Solar,"Habitat,Grazing",3.9,18.1,2018,Other,Single-axis Tracking,Pollinator,,Sheep
Antlia Community Solar,"Habitat,Grazing",2.6,18.64,2017,Other,Fixed,Pollinator,,Sheep
Aquarius Community Solar,Habitat,1.5,11.1,2019,,Fixed,Native grasses,,
Arcadia Solar,Habitat,6.8,30,2019,Monofacial PV,Single-axis Tracking,Pollinator,,
Argo Navis Community Solar,"Habitat,Grazing",3.9,21.54,2018,Other,Fixed,Pollinator,,Sheep
Aries Community Solar,Habitat,5.2,23.12,2017,Other,Fixed,Pollinator,,
Ash Ridge DPC Solar,Habitat,0.7,5.4,2017,,Single-axis Tracking,Pollinator,,
Aspiration G,Grazing,11.7,80,2017,,Single-axis Tracking,,,Sheep
Athens Solar,Habitat,8.8,40.3,2018,,Fixed,Pollinator,,
Atwater - O,Habitat,5.9,26.1,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
Auburn Renewables Solar Array,Habitat,14.7,55,2022,,Fixed,Pollinator,,
Auriga Community Solar,Habitat,1.5,7.77,2018,,Fixed,Native grasses,,
B&B Solar,Habitat,1.2,6.9,2020,,Single-axis Tracking,Pollinator,,
B.R. Corcoran CSG,Habitat,7,32.6,2017,,Fixed,Pollinator,,
B.R. Sartell CSG,"Habitat,Grazing",4.2,18.95,2017,Monofacial PV,Fixed,Pollinator,,Sheep
B.R. Sauk Rapids CSG,Habitat,7,30.43,2017,,Fixed,Pollinator,,
BD Solar North Bridgton,Grazing,4.99,21.5,2020,,Fixed,,,Sheep
"BT Cooke Solar, LLC",Grazing,81.4,415,2020,,Single-axis Tracking,,,Sheep
Ballenger-McKinney Photovoltaic Solar Project,Grazing,1.3,4.9,2018,,Fixed,,,Sheep
Bancroft Station Solar Farm,Grazing,139.7,1200,2019,,Single-axis Tracking,,,Sheep
Bandera Electric Coop PV,Habitat,2,11.4,2017,Monofacial PV,Single-axis Tracking,Pollinator,,
Barone CSG,Habitat,1.4,7.1,2018,,Fixed,Pollinator,,
Bauer Community Solar Garden,Habitat,1.3,8.4,2021,,Fixed,,,
"Beals Medina Solar, LLC (CSG)",Grazing,5.2,14.2,2020,,Fixed,,,Sheep
Becker Solar 1,Habitat,1.4,6,2019,,Fixed,"Pollinator, Native grasses",,
Becker Solar 2,Habitat,1.4,6,2019,,Fixed,"Pollinator, Native grasses",,
Becker Solar 3,Habitat,1.4,6,2019,,Fixed,"Pollinator, Native grasses",,
Becker Solar 4,Habitat,1.4,6,2019,,Fixed,"Pollinator, Native grasses",,
Becker Solar 5,Habitat,1.4,6,2019,,Fixed,"Pollinator, Native grasses",,
Bellflower Solar Farm,"Habitat,Grazing",173,1400,2022,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses",,Sheep
Big Lake Project CSG,Habitat,6.9,39.5,2018,,Single-axis Tracking,Native grasses,,
Big Lake Solar,"Crop Production,Habitat",1.4,18.1,2018,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses","Vegetables (kohlrabi, cabbage, broccoli, kale, chard, peppers, parsley, tomatoes)",
Bighorn Solar,"Habitat,Grazing",300,1800,2021,Bifacial PV,Single-axis Tracking,Native grasses,,Sheep
Billings Road,Habitat,2.3,7.9,2021,,Fixed,Pollinator,,
Blue Prairie,"Grazing,Habitat",3.1,18.96,2021,,Single-axis Tracking,Native grasses,,Sheep
Bluff Country Solar,Habitat,1.4,9,2020,,Single-axis Tracking,Pollinator,,
Bone Hill,Habitat,1.8,9.4,2020,,Fixed,Pollinator,,
Bongards,Habitat,6.9,34.275,2016,,Fixed,Pollinator,,
Borner,"Habitat,Grazing",5,39.65,,,Single-axis Tracking,Pollinator,,Sheep
Boulder Housing Partners Triangle Solar Array,"Crop Production,Habitat",0.63,3.8,2021,Monofacial PV,Fixed,Pollinator,,
Boutillier Solar,Grazing,0.65,3.2,2016,,Fixed,,,Sheep
Briar Creek Solar,"Grazing,Habitat",153.5,765,2021,,Single-axis Tracking,"Pollinator, Native grasses",,Sheep
Brick Solar,Habitat,2.7,16,2021,,Single-axis Tracking,Pollinator,,
Brimfield,Grazing,2.6,5,2021,,Fixed,,,Sheep
Brude Solar,Habitat,0.6,6,2019,,Single-axis Tracking,Pollinator,,
Bryan Floyd,Grazing,1.9,14.2,2023,,Single-axis Tracking,,,Sheep
Buckaroo Solar,Habitat,1.4,8.2,2020,,Single-axis Tracking,Pollinator,,
Buffalo Garden,Habitat,1.3,5.21,2020,,Fixed,Native grasses,,
Bunker Hill,Habitat,2.4,18,2021,,,Pollinator,,
Burgundy Brook Farm Agrivoltaic Project,"Crop Production,Habitat,Grazing",2.4,12,2023,Bifacial PV,Single-axis Tracking,"Naturalized, Pollinator",Hay,Cattle
Bush Solar,Habitat,1.4,7.8,2020,,Single-axis Tracking,Pollinator,,
"CF Novel Solar CSG Gardens Eleven, LLC",Habitat,3.6,22,2017,Monofacial PV,Fixed,Pollinator,,
"CGSun, LLC Community Solar",Habitat,5,35,2017,Monofacial PV,Fixed,Pollinator,,
CSU Foothills Campus - Rooftop Agrivoltaics Research,"Crop Production,Habitat",0.01,0.1,2009,Translucent PV,Fixed,Pollinator,"Leafy Greens, Berries",
CSU Spur Campus - Rooftop Agrivoltaics,"Crop Production,Habitat",0.046,0.1,2022,Bifacial PV,Fixed,,,
Caelum Community Solar,"Habitat,Grazing",2.6,9.17,2017,Other,Fixed,Pollinator,,Sheep
